"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.927606417E0,1.327866773E1,-5.902508093E0,-9.253231634E0,1.722744653E1
1.937613416E0,2.119084747E1,2.538712517E0,-7.686328112E0,2.268428349E1
1.947619417E0,2.599714647E1,1.187925127E1,-5.830869761E0,2.917134343E1
1.957625417E0,2.855075418E1,1.894840518E1,-3.388943281E0,3.443359638E1
1.967632417E0,2.981896614E1,2.311013286E1,9.732725537E-1,3.773852464E1
1.977638416E0,2.976032792E1,2.540384587E1,7.440739208E0,3.982960084E1
1.987645417E0,2.860658574E1,2.588973078E1,1.227874357E1,4.048928810E1
1.997651417E0,2.785884146E1,2.410767954E1,1.426759912E1,3.950771627E1
2.007657417E0,2.682708155E1,2.128013211E1,1.462492364E1,3.723472463E1
2.017664416E0,2.383823517E1,1.719816280E1,1.278047443E1,3.205275006E1
2.027670417E0,2.065695224E1,1.204591679E1,9.556529633E0,2.575152512E1
2.037677417E0,1.739391588E1,7.122868778E0,5.829436609E0,1.967907266E1
2.047683417E0,1.429390224E1,2.944267793E0,2.295599324E0,1.477342649E1
2.057689416E0,1.081051122E1,-2.882112329E-1,-3.211261600E-1,1.081911922E1
2.067696417E0,6.708675410E0,-2.980414111E0,-2.140318910E0,7.646578258E0
2.077702417E0,3.180305271E0,-5.603872079E0,-3.626079451E0,7.393657828E0
2.087708417E0,1.285900078E0,-8.850548510E0,-4.777151214E0,1.013937482E1
2.097715416E0,4.883119427E-1,-1.386229002E1,-5.399037098E0,1.488459387E1
2.107721417E0,-1.069836250E0,-1.996960970E1,-3.552178246E0,2.031127351E1
2.117728417E0,-2.267823003E0,-2.520383835E1,-2.642097137E0,2.544321454E1
2.127734417E0,-4.257507990E0,-2.876347121E1,-1.802429953E0,2.913266902E1
2.137740416E0,-7.327490920E0,-3.149783507E1,1.379516047E-1,3.233921409E1
2.147747417E0,-1.058514433E1,-3.261669277E1,2.886245288E0,3.441256078E1
2.157753417E0,-1.234118598E1,-3.117847419E1,5.645614182E0,3.400404510E1
2.167760417E0,-1.215953989E1,-2.784012569E1,7.768140015E0,3.135715242E1
2.177766416E0,-1.102429946E1,-2.442189722E1,8.510020704E0,2.811378122E1
2.187772417E0,-8.486414909E0,-2.219797657E1,6.574582967E0,2.465754536E1
2.197779417E0,-5.831286668E0,-2.042271278E1,3.168389230E0,2.147393285E1
2.207785417E0,-3.519859516E0,-1.833856047E1,-3.660245901E-1,1.867688906E1
2.217792416E0,-2.144092119E-1,-1.501730105E1,-3.830078865E0,1.549950987E1
2.227798417E0,3.301085942E0,-1.076283420E1,-7.825964300E0,1.371063403E1
2.237804417E0,6.264636683E0,-5.671144295E0,-1.173919759E1,1.446431161E1
2.247811417E0,9.948877219E0,9.867536017E-1,-1.369458719E1,1.695569400E1
2.257817416E0,1.358085534E1,9.104254519E0,-1.432764769E1,2.173956233E1
2.267824417E0,1.618506486E1,1.667310856E1,-1.305935387E1,2.665512328E1
2.277830417E0,1.841568057E1,2.151027618E1,-9.172647647E0,2.976519338E1
2.287836417E0,2.133305643E1,2.430535753E1,-3.858524984E0,3.256897168E1
2.297843416E0,2.271428103E1,2.686691746E1,1.201503999E0,3.520246339E1
2.307849417E0,2.215241039E1,2.851337176E1,5.025084853E0,3.645535808E1
2.317856417E0,2.062334011E1,2.753496652E1,7.077638226E0,3.512249281E1
2.327862417E0,1.876083703E1,2.348096795E1,6.731543870E0,3.079997638E1
2.337868416E0,1.781682043E1,1.813342611E1,4.251553186E0,2.577471508E1
2.347875417E0,1.640881792E1,1.332699497E1,1.288473145E0,2.117824977E1
2.357881417E0,1.268683361E1,8.388931299E0,-3.463381845E-1,1.521347644E1
2.367887417E0,8.724416467E0,3.426617184E0,-9.253733325E-1,9.418782502E0
2.377894416E0,5.940840100E0,-1.247226886E0,-1.253782784E0,6.198477819E0
2.387900417E0,3.619210142E0,-6.528350787E0,-1.100915517E0,7.545201192E0
2.397907417E0,6.903736623E-1,-1.320775854E1,4.797751540E-1,1.323448850E1
2.407913417E0,-2.977057517E0,-2.021162128E1,2.873769668E0,2.063082786E1
2.417919416E0,-6.622374015E0,-2.377665931E1,5.725456157E0,2.533705219E1
2.427926417E0,-8.432201865E0,-2.259105447E1,6.414113150E0,2.495192614E1
2.437932417E0,-9.626355913E0,-2.053755210E1,7.082161047E0,2.376162409E1
2.447939417E0,-9.460225407E0,-1.939497108E1,7.687384704E0,2.290756756E1
2.457945416E0,-8.392341396E0,-1.780048214E1,7.351734061E0,2.100801162E1
2.467951417E0,-5.835707747E0,-1.482219584E1,5.902792268E0,1.698811146E1
2.477958417E0,-2.866706232E0,-1.142089505E1,4.145753081E0,1.248367402E1
